DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2004-Q4,5.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2005-Q4,5.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2006-Q4,4.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2007-Q4,3.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2008-Q4,3.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2009-Q4,6.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2010-Q4,5.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2011-Q4,9.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2012-Q4,12.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2013-Q4,16.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2014-Q4,16.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2015-Q4,12.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2016-Q4,12.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2017-Q4,10.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2018-Q4,7.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2019-Q4,6.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2020-Q4,8.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2021-Q4,6.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2022-Q4,7.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CY,2023-Q4,5.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2004-Q4,8.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2005-Q4,7.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2006-Q4,6.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2007-Q4,4.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2008-Q4,4.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2009-Q4,7.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2010-Q4,6.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2011-Q4,6.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2012-Q4,7.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2013-Q4,6.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2014-Q4,5.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2015-Q4,4.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2016-Q4,3.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2017-Q4,2.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2018-Q4,2.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2019-Q4,2.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2020-Q4,3.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2021-Q4,2.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2022-Q4,2.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,CZ,2023-Q4,2.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2004-Q4,9.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2005-Q4,7.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2006-Q4,5.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2007-Q4,4.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2008-Q4,7.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2009-Q4,15.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2010-Q4,13.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2011-Q4,11.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2012-Q4,9.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2013-Q4,8.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2014-Q4,6.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2015-Q4,6.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2016-Q4,6.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2017-Q4,5.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2018-Q4,4.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2019-Q4,4.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2020-Q4,7.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2021-Q4,5.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2022-Q4,5.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EE,2023-Q4,6.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2005-Q4,9.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2006-Q4,8.3,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2007-Q4,7.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2008-Q4,7.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2009-Q4,9.6,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2010-Q4,9.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2011-Q4,10.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2012-Q4,11.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2013-Q4,11.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2014-Q4,10.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2015-Q4,9.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2016-Q4,8.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,EU27_2020,2017-Q4,7.8,
